Country,Year,Income,Terrorist,Net_Mig,Score_change,Region,Score_change_rank,HDI
Congo. Dem. Rep.,2017,1,143,17.21,-49.59,Sub-Saharan Africa ,1,0.475
Costa Rica,2017,3,0,3.22,-5.25,Latin America & Caribbean ,2,0.804
Cote d'Ivoire,2017,2,13,-13.48,-11.67,Sub-Saharan Africa ,1,0.525
Cyprus,2017,4,0,50.69,4.35999999999999,Europe & Central Asia,4,0.878
Czech Republic,2017,4,3,17.81,3.05,Europe & Central Asia,3,0.896
Denmark,2017,4,0,14.51,-0.019999999999996,Europe & Central Asia,3,0.936
Dominican Republic,2017,3,1,-6.73,-5.79,Latin America & Caribbean ,2,0.746
Ecuador,2017,3,3,5.66,-5.65,Latin America & Caribbean ,2,0.76
Egypt. Arab Rep.,2017,2,225,-25.95,12.52,Middle East & North Africa,4,0.698
Estonia,2017,4,0,13.76,-9.33,Europe & Central Asia,1,0.885
Ethiopia,2017,1,28,3.6,-13.57,Sub-Saharan Africa ,1,0.474
Finland,2017,4,2,-5.47,16.04,Europe & Central Asia,4,0.935
France,2017,4,42,5.77,12.51,Europe & Central Asia,4,0.897
Gabon,2017,3,4,-9.99,-31.7,Sub-Saharan Africa ,1,0.694
Georgia,2017,2,1,-2.65,-14.71,Europe & Central Asia,1,0.799
Germany,2017,4,27,43.62,-5.34999999999997,Europe & Central Asia,2,0.943
Ghana,2017,2,0,-12.38,-26.47,Sub-Saharan Africa ,1,0.602
Greece,2017,4,44,-36.1,1.93,Europe & Central Asia,3,0.879
Guatemala,2017,3,0,-2.87,-1.64,Latin America & Caribbean ,3,0.655
Haiti,2017,1,0,-16.53,-9.07,Latin America & Caribbean ,2,0.505
Honduras,2017,2,1,-0.72,-6.02,Latin America & Caribbean ,2,0.63
Hungary,2017,4,0,-12.46,6.59,Europe & Central Asia,4,0.846
India,2017,2,967,-23.85,2.42,South Asia,3,0.64
Indonesia,2017,2,27,1.77,-6.8,East Asia & Pacific,2,0.707
Iran. Islamic Rep.,2017,3,11,-10.25,-5.37999999999999,Middle East & North Africa,2,0.787
Iraq,2017,3,2548,-13.52,-0.0300000000000011,Middle East & North Africa,3,0.667
Ireland,2017,4,17,46.81,23.71,Europe & Central Asia,4,0.947
Israel,2017,4,34,-5.75,8.38,Middle East & North Africa,4,0.913
Italy,2017,4,10,-6.66,4.12,Europe & Central Asia,4,0.886
Jamaica,2017,3,2,-28.91,-3.40000000000001,Latin America & Caribbean ,2,0.734
Japan,2017,4,0,7.24,-3.68,East Asia & Pacific,2,0.915
Jordan,2017,3,8,-32.51,42.82,Middle East & North Africa,4,0.726
Kazakhstan,2017,3,0,-13.36,-10.38,Europe & Central Asia,1,0.815
Kenya,2017,2,97,17.17,-38.88,Sub-Saharan Africa ,1,0.595
Korea. Rep.,2017,4,0,-6.28,1.13,East Asia & Pacific,3,0.912
Kuwait,2017,4,0,41.12,-9.82999999999999,Middle East & North Africa,1,0.805
Latvia,2017,4,1,-9.12,-7.5,Europe & Central Asia,2,0.859
Lebanon,2017,3,23,-29.87,11.38,Middle East & North Africa,4,0.748
Libya,2017,3,191,-3.94,2.98,Middle East & North Africa,3,0.714
Lithuania,2017,4,0,-15.27,-8.65,Europe & Central Asia,2,0.873
Macedonia. FYR,2017,3,1,-22.78,-1.33,Europe & Central Asia,3,0.767
Madagascar,2017,1,0,-9.37,-12.64,Sub-Saharan Africa ,1,0.526
Malawi,2017,1,1,15.55,-45.3,Sub-Saharan Africa ,1,0.473
Malaysia,2017,3,4,-10.7,2.01,East Asia & Pacific,3,0.805
Mali,2017,1,142,6.98,-3.8,Sub-Saharan Africa ,2,0.427
Malta,2017,4,3,46.02,-11.29,Middle East & North Africa,1,0.888
Mexico,2017,3,20,-0.77,-1.22,Latin America & Caribbean ,3,0.771
Moldova,2017,2,0,-53.71,0.359999999999992,Europe & Central Asia,3,0.743
Morocco,2017,2,0,-33.2,-12.8,Middle East & North Africa,1,0.673
Mozambique,2017,1,15,1.64,-19.8,Sub-Saharan Africa ,1,0.446
Myanmar,2017,2,116,23.33,-25.79,East Asia & Pacific,1,0.572
Nepal,2017,1,247,-27.52,-10.2,South Asia,1,0.588
Netherlands,2017,4,1,15.13,7.16,Europe & Central Asia,4,0.939
New Zealand,2017,4,0,50.72,-10.93,East Asia & Pacific,1,0.926
Nicaragua,2017,2,0,-0.99,-3.1,Latin America & Caribbean ,2,0.661
Nigeria,2017,2,488,-2.83,-50.43,Sub-Saharan Africa ,1,0.531
Norway,2017,4,1,-11.15,27.5,Europe & Central Asia,4,0.954
Pakistan,2017,2,719,-25.27,11.89,South Asia,4,0.55
Panama,2017,4,0,13.46,-35.66,Latin America & Caribbean ,1,0.811
Papua New Guinea,2017,2,8,29.26,-15.73,East Asia & Pacific,1,0.549
Paraguay,2017,3,10,1.51,-9.03,Latin America & Caribbean ,2,0.726
Peru,2017,3,8,2.19,1.91,Latin America & Caribbean ,3,0.767
Philippines,2017,2,695,-18.01,0.749999999999989,East Asia & Pacific,3,0.708
Poland,2017,4,1,4.83,3.36,Europe & Central Asia,3,0.873
Qatar,2017,4,0,16.7,-70.6,Middle East & North Africa,1,0.848
Rwanda,2017,1,2,2.63,-8.31,Sub-Saharan Africa ,2,0.535
Saudi Arabia,2017,4,57,7.98,-49.24,Middle East & North Africa,1,0.852
Senegal,2017,1,0,-10.91,-3.08,Sub-Saharan Africa ,2,0.512
Serbia,2017,3,1,-22.75,-2.99,Europe & Central Asia,2,0.798
Slovak Republic,2017,4,0,-24.18,14.51,Europe & Central Asia,4,0.855
South Africa,2017,3,29,-4.1,-16.29,Sub-Saharan Africa ,1,0.705
Spain,2017,4,4,19.53,8.6,Europe & Central Asia,4,0.903
Sri Lanka,2017,2,41,-18.26,-1.33999999999999,South Asia,3,0.775
Sudan,2017,2,106,-12.53,23.97,Sub-Saharan Africa ,4,0.509
Sweden,2017,4,18,29.38,4.59,Europe & Central Asia,4,0.942
Switzerland,2017,4,0,59.38,-20.17,Europe & Central Asia,1,0.949
Syrian Arab Republic,2017,1,250,-40.91,28.61,Middle East & North Africa,4,0.564
Taiwan. China,2017,4,1,-24.8,-14.99,East Asia & Pacific,1,0.911
Tanzania,2017,1,6,4.36,-24.58,Sub-Saharan Africa ,1,0.523
Thailand,2017,3,179,-2.97,-4.68,East Asia & Pacific,2,0.765
Trinidad and Tobago,2017,4,0,-8.37,-5.01,Latin America & Caribbean ,2,0.795
Tunisia,2017,2,4,-66.31,-15.65,Middle East & North Africa,1,0.734
Turkey,2017,3,181,-20.99,-9.51,Europe & Central Asia,1,0.814
Uganda,2017,1,13,0.78,-19.56,Sub-Saharan Africa ,1,0.532
Ukraine,2017,2,62,-30.05,2.64,Europe & Central Asia,3,0.771
United Kingdom,2017,4,123,-1.15,0.51,Europe & Central Asia,3,0.926
United States,2017,4,66,2.05,3.01,North America,3,0.924
Uruguay,2017,4,0,-1.12,-12.49,Latin America & Caribbean ,1,0.814
Uzbekistan,2017,2,0,-10.55,-8.9,Europe & Central Asia,2,0.713
Venezuela. RB,2017,3,17,-142.05,-37.25,Latin America & Caribbean ,1,0.743
Vietnam,2017,2,2,-15.12,-8.6,East Asia & Pacific,2,0.696
West Bank and Gaza,2017,2,84,-11.79,-6.33,Middle East & North Africa,2,0.706
Yemen. Rep.,2017,1,530,-7.16,4.83,Middle East & North Africa,4,0.467
Zambia,2017,2,2,20.12,-44.8,Sub-Saharan Africa ,1,0.578
Zimbabwe,2017,1,3,0.970000000000002,-37.34,Sub-Saharan Africa ,1,0.563
Afghanistan,2018,1,1776,15.85,50.12,South Asia,4,0.509
Albania,2018,3,0,-5.05,13.75,Europe & Central Asia,4,0.792
Algeria,2018,3,7,-23,11.1,Middle East & North Africa,4,0.746
Angola,2018,2,0,4.62,13.86,Sub-Saharan Africa ,4,0.582
Argentina,2018,4,5,14.72,6.53,Latin America & Caribbean ,4,0.842
Armenia,2018,3,1,-18.06,12.88,Europe & Central Asia,4,0.771
Australia,2018,4,3,44.4,-1.06,East Asia & Pacific,3,0.943
Austria,2018,4,1,21.44,-1.41,Europe & Central Asia,3,0.921
Azerbaijan,2018,3,1,-22,-0.890000000000004,Europe & Central Asia,3,0.754
Bahrain,2018,4,1,37.97,20.14,Middle East & North Africa,4,0.852
Bangladesh,2018,2,33,-15.42,-5.12,South Asia,2,0.625
Belgium,2018,4,3,10.98,4.94,Europe & Central Asia,4,0.93
Benin,2018,1,0,-18.81,-3.65,Sub-Saharan Africa ,2,0.541
Bolivia,2018,2,2,-3.85,-1.16,Latin America & Caribbean ,3,0.714
Bosnia and Herzegovina,2018,3,2,-34.29,-3.03000000000001,Europe & Central Asia,2,0.777
Brazil,2018,3,11,-11.39,-3.87,Latin America & Caribbean ,2,0.762
Bulgaria,2018,3,1,-8.84,6.44,Europe & Central Asia,4,0.813
Burkina Faso,2018,1,72,-0.7,7.92,Sub-Saharan Africa ,4,0.443
Cambodia,2018,2,1,3.93,2.31,East Asia & Pacific,3,0.585
Cameroon,2018,2,236,-33.03,-11.75,Sub-Saharan Africa ,1,0.56
Canada,2018,4,7,50.26,14.33,North America,4,0.928
Chile,2018,4,47,27.81,-0.790000000000003,Latin America & Caribbean ,3,0.849
China,2018,3,1,-1.16,1.46,East Asia & Pacific,3,0.755
Colombia,2018,3,205,2.17,3.67,Latin America & Caribbean ,3,0.764
Congo. Dem. Rep.,2018,1,163,14.99,-2.22,Sub-Saharan Africa ,2,0.478
Costa Rica,2018,3,0,2.48,-0.739999999999999,Latin America & Caribbean ,3,0.808
Cote d'Ivoire,2018,2,2,-8.03,5.45,Sub-Saharan Africa ,4,0.534
Cyprus,2018,4,0,65.01,14.32,Europe & Central Asia,4,0.885
Czech Republic,2018,4,0,13.01,-4.8,Europe & Central Asia,2,0.898
Denmark,2018,4,1,12.98,-1.53,Europe & Central Asia,3,0.939
Dominican Republic,2018,3,0,-9.39,-2.66,Latin America & Caribbean ,2,0.751
Ecuador,2018,3,11,6.74,1.08,Latin America & Caribbean ,3,0.762
Egypt. Arab Rep.,2018,2,54,-17.11,8.84000000000001,Middle East & North Africa,4,0.701
Estonia,2018,4,0,12.05,-1.71,Europe & Central Asia,3,0.889
Ethiopia,2018,1,10,-4.48,-8.08,Sub-Saharan Africa ,2,0.478
Finland,2018,4,1,0.56,6.03,Europe & Central Asia,4,0.937
France,2018,4,13,9.9,4.13,Europe & Central Asia,4,0.898
Gabon,2018,3,0,9.93,19.92,Sub-Saharan Africa ,4,0.697
Georgia,2018,2,1,32.16,34.81,Europe & Central Asia,4,0.805
Germany,2018,4,22,47.18,3.56,Europe & Central Asia,3,0.946
Ghana,2018,2,2,-8.69,3.69,Sub-Saharan Africa ,3,0.606
Greece,2018,4,26,-35,1.10000000000001,Europe & Central Asia,3,0.881
Guatemala,2018,3,2,-2.67,0.2,Latin America & Caribbean ,3,0.657
Haiti,2018,1,5,-27.46,-10.93,Latin America & Caribbean ,1,0.508
Honduras,2018,2,0,-3.32,-2.6,Latin America & Caribbean ,2,0.633
Hungary,2018,4,0,-12.52,-0.0599999999999952,Europe & Central Asia,3,0.85
India,2018,2,888,-26,-2.15,South Asia,2,0.642
Indonesia,2018,2,43,2.74,0.97,East Asia & Pacific,3,0.712
Iran. Islamic Rep.,2018,3,13,-19.25,-8.99999999999999,Middle East & North Africa,2,0.785
Iraq,2018,3,1364,-0.7,12.82,Middle East & North Africa,4,0.671
Ireland,2018,4,5,44.73,-2.08000000000004,Europe & Central Asia,2,0.951
Israel,2018,4,63,-1.67,4.08,Middle East & North Africa,3,0.916
Italy,2018,4,15,-7.05,-0.389999999999999,Europe & Central Asia,3,0.89
Jamaica,2018,3,0,-34.56,-5.65,Latin America & Caribbean ,2,0.734
Japan,2018,4,1,20.99,13.75,East Asia & Pacific,4,0.917
Jordan,2018,3,2,-15.86,16.65,Middle East & North Africa,4,0.728
Kazakhstan,2018,3,0,-8.43,4.93,Europe & Central Asia,4,0.819
Kenya,2018,2,52,12.29,-4.88,Sub-Saharan Africa ,2,0.599
Korea. Rep.,2018,4,1,3.93,10.21,East Asia & Pacific,4,0.914
Kuwait,2018,4,0,56.91,15.79,Middle East & North Africa,4,0.807
Latvia,2018,4,0,-18.47,-9.35,Europe & Central Asia,1,0.863
Lebanon,2018,3,8,-34.6,-4.73,Middle East & North Africa,2,0.747
Libya,2018,3,167,0.45,4.39,Middle East & North Africa,4,0.721
Lithuania,2018,4,1,-16.12,-0.850000000000005,Europe & Central Asia,3,0.876
Macedonia. FYR,2018,3,0,-20.48,2.3,Europe & Central Asia,3,0.77
Madagascar,2018,1,0,-18.9,-9.53,Sub-Saharan Africa ,1,0.527
Malawi,2018,1,2,11.22,-4.33,Sub-Saharan Africa ,2,0.478
Malaysia,2018,3,7,-6.84,3.86,East Asia & Pacific,3,0.805
Mali,2018,1,164,2.22,-4.76,Sub-Saharan Africa ,2,0.431
Malta,2018,4,0,50.86,4.84000000000001,Middle East & North Africa,4,0.894
Mexico,2018,3,27,-1.36,-0.59,Latin America & Caribbean ,3,0.776
Moldova,2018,2,0,-50.42,3.29,Europe & Central Asia,3,0.746
Morocco,2018,2,1,-41.16,-7.96,Middle East & North Africa,2,0.68
Mozambique,2018,1,65,3.83,2.19,Sub-Saharan Africa ,3,0.452
Myanmar,2018,2,40,25.05,1.72,East Asia & Pacific,3,0.579
Nepal,2018,1,99,-29.51,-1.99000000000001,South Asia,3,0.596
Netherlands,2018,4,6,18.38,3.25,Europe & Central Asia,3,0.942
New Zealand,2018,4,0,38.32,-12.4,East Asia & Pacific,1,0.928
Nicaragua,2018,2,7,-26.33,-25.34,Latin America & Caribbean ,1,0.659
Nigeria,2018,2,648,-14.39,-11.56,Sub-Saharan Africa ,1,0.534
Norway,2018,4,0,2.37,13.52,Europe & Central Asia,4,0.956
Pakistan,2018,2,480,-20.77,4.50000000000001,South Asia,4,0.552
Panama,2018,4,0,-6.83,-20.29,Latin America & Caribbean ,1,0.812
Papua New Guinea,2018,2,0,15.46,-13.8,East Asia & Pacific,1,0.549
Paraguay,2018,3,4,-11.06,-12.57,Latin America & Caribbean ,1,0.727
Peru,2018,3,5,8.84,6.65,Latin America & Caribbean ,4,0.771
Philippines,2018,2,600,-17.43,0.580000000000005,East Asia & Pacific,3,0.711
Poland,2018,4,1,4.84,0.00999999999999979,Europe & Central Asia,3,0.877
Qatar,2018,4,0,49.33,32.63,Middle East & North Africa,4,0.845
Rwanda,2018,1,5,-0.89,-3.52,Sub-Saharan Africa ,2,0.54
Saudi Arabia,2018,4,94,-9.29,-17.27,Middle East & North Africa,1,0.854
Senegal,2018,1,3,-18.67,-7.76,Sub-Saharan Africa ,2,0.516
Serbia,2018,3,2,-31.86,-9.11000000000001,Europe & Central Asia,2,0.803
Slovak Republic,2018,4,1,-2.89,21.29,Europe & Central Asia,4,0.858
South Africa,2018,3,41,-4.41,-0.31,Sub-Saharan Africa ,3,0.707
Spain,2018,4,2,21.56,2.03,Europe & Central Asia,3,0.905
Sri Lanka,2018,2,7,-25.48,-7.22,South Asia,2,0.779
Sudan,2018,2,42,-11.44,1.09,Sub-Saharan Africa ,3,0.506
Sweden,2018,4,6,31.48,2.1,Europe & Central Asia,3,0.943
Switzerland,2018,4,1,60.27,0.890000000000008,Europe & Central Asia,3,0.955
Syrian Arab Republic,2018,1,233,-24.15,16.76,Middle East & North Africa,4,0.563
Taiwan. China,2018,4,3,-26.11,-1.31000000000001,East Asia & Pacific,3,0.911
Tanzania,2018,1,3,-0.35,-4.71,Sub-Saharan Africa ,2,0.524
Thailand,2018,3,182,1.4,4.37,East Asia & Pacific,4,0.772
Trinidad and Tobago,2018,4,1,-14.23,-5.86,Latin America & Caribbean ,2,0.795
Tunisia,2018,2,19,-80.5,-14.19,Middle East & North Africa,1,0.738
Turkey,2018,3,94,-19.65,1.34,Europe & Central Asia,3,0.817
Uganda,2018,1,10,0.619999999999999,-0.160000000000001,Sub-Saharan Africa ,3,0.538
Ukraine,2018,2,36,-33.86,-3.81,Europe & Central Asia,2,0.774
United Kingdom,2018,4,101,3.93,5.08,Europe & Central Asia,4,0.928
United States,2018,4,75,0.43,-1.62,North America,3,0.925
Uruguay,2018,4,0,-12.05,-10.93,Latin America & Caribbean ,1,0.816
Uzbekistan,2018,2,0,2.73,13.28,Europe & Central Asia,4,0.717
Venezuela. RB,2018,3,11,-181.98,-39.93,Latin America & Caribbean ,1,0.733
Vietnam,2018,2,1,-9.08,6.04,East Asia & Pacific,4,0.7
